longitude,latitude,noisedB,seconds
27.0911338,93.6157355,63.28344727,1610437001
27.0911338,93.6157355,63.28344727,1610437001
27.0911214,93.6157545,60.11297607,1610437002
27.0911214,93.6157545,58.29707718,1610437003
27.0911214,93.6157545,61.89824295,1610437004
27.0911594,93.6157537,64.60620117,1610437005
27.0912313,93.6158033,71.46440887,1610437006
27.0912044,93.6157761,61.34783936,1610437007
27.0911646,93.6157432,63.54464722,1610437009
27.0911662,93.6157459,59.53598785,1610437010
27.0911708,93.6157486,73.52045441,1610437011
27.0911743,93.6157509,76.49430084,1610437012
27.0911645,93.6157527,61.09163284,1610437015
27.0911626,93.6157504,78.34349823,1610437016
27.0911588,93.615744,81.99064636,1610437020
27.0911536,93.6157448,81.99064636,1610437020
27.0911504,93.6157455,78.92765045,1610437022
27.0911433,93.6157508,82.59483337,1610437023
27.0911413,93.6157534,83.6161499,1610437024
27.0911397,93.6157587,77.41799164,1610437025
27.0911406,93.6157572,81.04606628,1610437026
27.0911427,93.6157565,78.83487701,1610437027
27.091147,93.6157568,79.42212677,1610437028
27.0911523,93.615759,82.87459564,1610437030
27.0911579,93.6157639,84.04527283,1610437032
27.0911612,93.6157677,83.68477631,1610437033
27.0911731,93.6157827,82.22169495,1610437034
27.0911788,93.6157875,80.72880554,1610437035
27.0911812,93.6157884,79.44377899,1610437036
27.0911915,93.6157983,76.04881287,1610437037
27.0912005,93.6158065,72.1398468,1610437038
27.0912034,93.6158081,68.16313171,1610437039
27.0912051,93.6158094,66.16632843,1610437041
27.0912072,93.6158107,66.25610352,1610437042
27.0912106,93.6158153,66.25610352,1610437042
27.0912119,93.6158183,59.35881424,1610437043
27.0912127,93.6158193,71.1587677,1610437044
27.091215,93.6158237,65.15596771,1610437045
27.0912229,93.6158275,70.34728241,1610437046
27.0912266,93.6158292,71.4155426,1610437048
27.0912278,93.6158294,71.4155426,1610437048
27.0912308,93.6158294,71.93190002,1610437051
27.0912338,93.6158312,71.59147644,1610437052
27.0912376,93.6158336,67.59276581,1610437053
27.0912372,93.6158353,64.8807373,1610437054
27.0912367,93.6158366,66.94091034,1610437055
27.0912338,93.6158379,70.61930847,1610437056
27.0912017,93.6158921,72.08111572,1610437064
27.0911969,93.615958,69.55351257,1610437072
27.0912048,93.6159674,65.72254944,1610437078
27.0912114,93.6159699,71.60668182,1610437080
27.0912364,93.6159419,71.60668182,1610437080
27.0912327,93.6159464,71.60668182,1610437080
27.0912251,93.6159292,71.60668182,1610437080
27.0911985,93.6158228,71.60668182,1610437080
27.0910927,93.6157788,71.60668182,1610437080
27.0910698,93.6157246,71.60668182,1610437080
27.0911329,93.6157257,71.60668182,1610437080
27.0911533,93.615734,71.60668182,1610437080
27.0911506,93.6157358,71.60668182,1610437080
27.0911544,93.6157273,71.60668182,1610437080
27.0911557,93.6157243,71.60668182,1610437080
27.0911492,93.6157222,71.60668182,1610437080
27.0911122,93.6157225,71.60668182,1610437080
27.091106,93.6157395,71.60668182,1610437080
27.0911403,93.6157876,71.60668182,1610437080
27.0911797,93.6158527,71.60668182,1610437080
27.091188,93.6158621,71.60668182,1610437080
27.0911964,93.615868,71.60668182,1610437080
27.0912053,93.6158763,71.60668182,1610437080
27.0912053,93.6158763,71.60668182,1610437080
27.0912131,93.6158872,76.39353943,1610437095
27.0912131,93.6158872,76.39353943,1610437095
27.0912181,93.6158996,76.39353943,1610437095
27.0912246,93.6159138,76.39353943,1610437095
27.0912236,93.6159435,76.39353943,1610437095
27.0912199,93.6159694,76.39353943,1610437095
27.0912199,93.6159694,76.39353943,1610437095
27.0912128,93.6159999,76.39353943,1610437095
27.0912044,93.6160219,76.39353943,1610437095
27.0912044,93.6160219,76.39353943,1610437095
27.0910828,93.6161465,76.39353943,1610437095
27.0910576,93.6161844,83.13787842,1610437181
27.0910387,93.6162265,83.13787842,1610437181
27.0910387,93.6162265,83.13787842,1610437181
27.0910221,93.6162748,83.13787842,1610437181
27.0910168,93.6163324,83.13787842,1610437181
27.0910168,93.6163324,83.13787842,1610437181
27.0910281,93.616395,83.13787842,1610437181
27.0910519,93.6164585,83.13787842,1610437181
27.0910519,93.6164585,83.13787842,1610437181
27.0910848,93.6165206,83.13787842,1610437181
27.0910848,93.6165206,83.13787842,1610437181
27.0911209,93.6165806,83.13787842,1610437181
27.0911546,93.6166434,83.13787842,1610437181
27.0911861,93.6167048,83.13787842,1610437181
27.0911861,93.6167048,83.13787842,1610437181
27.0912177,93.6167585,83.13787842,1610437181
27.0912177,93.6167585,83.13787842,1610437181
27.0912448,93.6168097,83.13787842,1610437181
27.0912646,93.6168615,83.13787842,1610437181
27.0912646,93.6168615,83.13787842,1610437181
27.0912782,93.6169119,83.13787842,1610437181
27.091293,93.6169596,83.13787842,1610437181
27.091293,93.6169596,83.13787842,1610437181
27.0913055,93.617007,83.13787842,1610437181
27.0913136,93.6170558,83.13787842,1610437181
27.0913206,93.61709,83.13787842,1610437181
27.0913327,93.6171355,83.13787842,1610437181
27.0913647,93.6172576,83.13787842,1610437181
27.0913775,93.6173203,83.13787842,1610437181
27.091384,93.6173951,83.13787842,1610437181
27.0913715,93.6174761,83.13787842,1610437181
27.0913508,93.6175568,83.13787842,1610437181
27.0913249,93.6176323,83.13787842,1610437181
27.091297,93.617704,83.13787842,1610437181
27.0912623,93.6177729,83.13787842,1610437181
27.0911427,93.6179002,83.13787842,1610437181
27.0910827,93.6179598,83.13787842,1610437181
27.0910827,93.6179598,83.13787842,1610437181
27.0909587,93.6180709,83.13787842,1610437181
27.0909057,93.6181388,83.13787842,1610437181
27.0908593,93.6182096,83.13787842,1610437181
27.0907285,93.6183489,83.13787842,1610437181
27.0906072,93.6184641,83.13787842,1610437181
27.0905511,93.6185187,83.13787842,1610437181
27.0905012,93.6185764,83.13787842,1610437181
27.0905012,93.6185764,83.13787842,1610437181
27.0904521,93.6186341,83.13787842,1610437181
27.0903995,93.6186935,83.13787842,1610437181
27.0903471,93.6187604,83.13787842,1610437181
27.0903471,93.6187604,83.13787842,1610437181
27.0903044,93.618833,83.13787842,1610437181
27.0902608,93.6189932,83.13787842,1610437181
27.0902593,93.6190722,83.13787842,1610437181
27.090268,93.6191494,83.13787842,1610437181
27.090268,93.6191494,83.13787842,1610437181
27.0902938,93.6193086,83.13787842,1610437181
27.0901496,93.6197792,83.13787842,1610437181
27.0900025,93.620269,83.13787842,1610437181
27.0898329,93.6205935,83.13787842,1610437181
27.0895066,93.6209841,83.13787842,1610437181
27.0892053,93.6213442,83.13787842,1610437181
27.0890168,93.6214542,83.13787842,1610437181
27.0889653,93.6213792,83.13787842,1610437181
27.0889488,93.6213571,83.13787842,1610437181
27.0889488,93.6213571,83.13787842,1610437181
27.0889307,93.6213404,83.13787842,1610437181
27.0889086,93.6213214,83.13787842,1610437181
27.0888837,93.6212957,83.13787842,1610437181
27.0888608,93.6212684,83.13787842,1610437181
27.0888329,93.6212365,83.13787842,1610437181
27.0888013,93.6211999,83.13787842,1610437181
27.0887327,93.6211121,83.13787842,1610437181
27.0887043,93.6210756,83.13787842,1610437181
27.0886722,93.6210334,83.13787842,1610437181
27.0886453,93.620998,83.13787842,1610437181
27.0886171,93.6209658,83.13787842,1610437181
27.0885871,93.6209358,83.13787842,1610437181
27.0885635,93.6209124,85.06608582,1610437183
27.0885248,93.6208671,83.79411316,1610437186
27.0885097,93.6208521,75.55068207,1610437336
27.0884854,93.6208368,78.3527298,1610437337
27.0884781,93.6208404,75.7671051,1610437339
27.0884727,93.6208491,76.47465515,1610437340
27.0884678,93.620859,82.25469208,1610437342
27.0884855,93.6208839,82.25469208,1610437342
27.0885093,93.6209054,79.45921326,1610437343
27.0885343,93.6209235,79.95613098,1610437344
27.088557,93.6209437,80.65049744,1610437345
27.0886048,93.6210092,80.76722717,1610437346
27.0886303,93.6210478,82.58351135,1610437347
27.0886618,93.6210932,81.94269562,1610437349
27.0886886,93.6211294,84.87922668,1610437350
27.088722,93.6211731,83.76364899,1610437351
27.0887574,93.6212157,84.69645691,1610437352
27.0887939,93.6212589,83.59843445,1610437353
27.0888313,93.6213005,77.9850769,1610437354
27.0888665,93.6213365,79.08253479,1610437355
27.0888948,93.6213576,80.92811584,1610437356
27.0889158,93.6213712,79.4144516,1610437357
27.0889302,93.6213848,83.42295837,1610437359
27.0889654,93.6214344,83.41732025,1610437360
27.0889654,93.6214344,83.33692169,1610437361
27.0889874,93.6214622,83.33692169,1610437361
27.0890501,93.6214968,81.81132507,1610437363
27.0892889,93.6212684,76.53620911,1610437370
27.0895411,93.6209692,77.18993378,1610437377
27.0897979,93.6206624,79.88414001,1610437385
27.0899785,93.6203056,74.71679688,1610437393
27.0902836,93.6203993,84.90356445,1610437401
27.0906717,93.6206627,84.00971222,1610437408
27.090747,93.6207945,79.2431488,1610437411
27.09077,93.6208633,79.2431488,1610437411
27.0907805,93.620924,83.29734802,1610437412
27.0907805,93.620924,83.29734802,1610437412
27.0907792,93.620978,84.1404953,1610437413
27.0907714,93.6210313,84.1404953,1610437413
27.0907714,93.6210313,84.62660217,1610437414
27.0907584,93.6210863,84.83171082,1610437415
27.0907584,93.6210863,84.83171082,1610437415
27.0907457,93.62114,84.83171082,1610437415
27.0907457,93.62114,84.43022919,1610437416
27.0907344,93.6211953,84.43022919,1610437416
27.0907272,93.6212505,85.38459015,1610437418
27.0907272,93.6212505,79.36903381,1610437419
27.0907289,93.621303,79.36903381,1610437419
27.0907289,93.621303,78.41344452,1610437420
27.0907392,93.6213327,78.41344452,1610437420
27.0907572,93.6213664,79.11477661,1610437421
27.0907572,93.6213664,79.11477661,1610437421
27.0907813,93.6214027,82.23155212,1610437422
27.0908032,93.6214352,80.85836792,1610437423
27.0908212,93.6214647,80.34269714,1610437424
27.0908343,93.6214901,80.69788361,1610437425
27.0908343,93.6214901,80.69788361,1610437425
27.0909301,93.6217279,86.65355682,1610437431
27.0909506,93.6217759,86.5568161,1610437432
27.0909506,93.6217759,86.5568161,1610437432
27.0909713,93.6218314,86.45014954,1610437433
27.0909713,93.6218314,86.45014954,1610437433
27.09099,93.62188,86.45014954,1610437433
27.09099,93.62188,87.38014221,1610437434
27.0910116,93.6219276,87.38014221,1610437434
27.0910116,93.6219276,86.60099792,1610437435
27.0910386,93.6219761,86.60099792,1610437435
27.0910386,93.6219761,86.75447845,1610437436
27.0910725,93.6220372,86.75447845,1610437436
27.0911376,93.6221683,85.9437027,1610437439
27.0911635,93.6222371,86.07389832,1610437440
27.0911861,93.6223127,85.82665253,1610437441
27.0911861,93.6223127,85.82665253,1610437441
27.0912076,93.6224602,79.68688965,1610437443
27.0912093,93.6225193,79.68688965,1610437443
27.0912109,93.6225645,82.9679184,1610437444
27.0912115,93.6226193,86.4546814,1610437445
27.0912155,93.6226815,87.16895294,1610437448
27.0912258,93.6228166,86.78700256,1610437449
27.0912295,93.6228814,83.51341248,1610437450
27.0912314,93.6229405,81.80321503,1610437451
27.0912269,93.622992,81.42878723,1610437452
27.0912073,93.623033,83.36284637,1610437453
27.0911755,93.623061,85.04389954,1610437454
27.0911132,93.6230765,86.31498718,1610437455
27.0910743,93.6230765,86.48510742,1610437457
27.0910247,93.6230752,87.18699646,1610437458
27.0909628,93.6230779,87.37121582,1610437459
27.0908356,93.6230904,86.40102386,1610437461
27.0907754,93.6230977,87.09973907,1610437462
27.0907162,93.6231034,87.54629517,1610437463
27.0906586,93.6231153,85.72041321,1610437464
27.0905545,93.6231543,86.10588074,1610437465
27.0905545,93.6231543,85.67245483,1610437467
27.0904639,93.6232203,84.29475403,1610437468
27.0904329,93.6232646,83.63548279,1610437469
27.0904179,93.6233131,85.48719788,1610437470
27.0904312,93.623415,87.38715363,1610437471
27.0904486,93.6234787,86.95024109,1610437473
27.0905663,93.623955,87.41829681,1610437480
27.090367,93.6244712,84.5635376,1610437488
27.0904226,93.6247588,77.9315567,1610437495
27.0904412,93.6249684,76.37475586,1610437503
27.090382,93.6251893,85.74539185,1610437511
27.090268,93.6255888,86.57032013,1610437519
27.0902527,93.6256407,83.19737244,1610437520
27.090241,93.6256796,81.40209198,1610437521
27.090241,93.6256796,81.40209198,1610437521
27.0902258,93.6257173,83.37238312,1610437522
27.0902258,93.6257173,83.37238312,1610437522
27.0902106,93.625756,78.67555237,1610437523
27.090193,93.625809,78.67555237,1610437523
27.090193,93.625809,79.60801697,1610437524
27.0901789,93.6258519,78.24229431,1610437525
27.0901615,93.6258987,78.24229431,1610437525
27.0901391,93.6259481,77.1580658,1610437528
